"country_code"	"age"	"name"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
732	"80"	"Western Sahara"	6025.1512	7064.6706	8139.0122	9361.8655	10746.939	13895.673	17178.444	20939.417	23393.046	26054.379	29253.056	32117.336	35330.912	38222.383	41250.463	44315.013	47276.203	50136.725	52852.633	55415.248	57908.199	60171.289	62340.11	64327.976	66341.532	68161.928	69899.176	71608.72	73234.173	74727.463
732	"85"	"Western Sahara"	2163.742	2631.1649	3129.3713	3712.8154	4391.5584	5991.5666	7702.4595	9724.3472	11089.395	12604.967	14468.859	16186.396	18203.781	20187.727	22480.318	24995.252	27591.968	30270.583	32913.099	35547.714	38212.194	40706.397	43162.925	45471.937	47869.636	50089.27	52248.907	54417.752	56522.884	58494.722
732	"90"	"Western Sahara"	505.55662	641.69935	792.26491	974.51697	1192.8688	1728.3981	2316.6304	3030.2816	3525.7405	4086.8056	4788.8048	5449.1371	6259.2939	7138.5832	8278.2667	9651.9224	11189.674	12909.864	14700.656	16620.956	18672.873	20683.076	22748.669	24767.938	26943.65	29029.951	31124.395	33293.88	35464.712	37557.105
732	"95"	"Western Sahara"	72.160567	95.712798	122.73603	156.53745	198.35961	304.79284	424.56139	571.89761	676.24197	795.21625	945.13622	1086.9215	1267.4871	1485.0181	1804.3696	2230.7024	2754.495	3398.981	4118.3606	4964.5837	5937.8199	6952.8285	8061.3631	9208.4464	10509.744	11820.426	13199.267	14692.325	16251.392	17815.645
732	"100+"	"Western Sahara"	6.3289007	8.6690984	11.44026	15.006168	19.512531	31.287533	44.741459	61.189296	72.96669	86.305712	102.8777	118.36285	138.63708	165.46314	209.87039	275.2766	363.8103	484.53548	630.58687	822.6301	1064.5859	1337.6259	1661.0098	2022.3472	2460.8238	2931.8182	3460.3991	4068.1298	4739.8054	5450.7706
913	"0"	"Southern Africa"	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05
913	"1"	"Southern Africa"	88174.1275137739	89513.4061240137	90385.5838416527	91203.4017549864	92209.2408821627	93379.1458378878	94343.7027404831	95155.2001266689	95421.5360896477	94686.0078648672	94255.4341086283	95104.118727497	96642.9795789219	97202.062704579	97483.0592652626	97707.715155066	97878.7800884669	98020.8288170404	98151.4564277504	98270.3799352878	98395.8024662496	98519.3658766869	98628.6123372927	98709.5898545478	98780.8364881236	98847.2535573806	98908.3902079348	98966.6825889072	99022.7412958045	99076.0338129014
913	"5"	"Southern Africa"	81918.4183035423	84209.4172457851	85659.8274268278	87011.9163973703	89080.0523276894	90753.6565095133	92319.5933013148	93591.9938924558	94098.4452832875	93160.1058412413	92418.2251973348	93394.5122381168	95703.9804883578	96542.3967561121	96928.7821820915	97240.5014940664	97463.2222504395	97636.5847790424	97798.1253247618	97944.4483118829	98096.0825159915	98245.9539498107	98378.4530314955	98473.6223481766	98558.2603078103	98636.2582024743	98708.7306893038	98777.3069564226	98843.5361512027	98907.2476867001
913	"10"	"Southern Africa"	79962.0157742997	82516.1013063707	84128.3265307167	85633.7029199643	88346.3178554997	90066.3257685571	91661.6855930642	93083.4099051947	93691.9879881464	92756.5077048293	91860.7771783317	92709.0261662406	95166.0155898327	96197.1235499965	96720.2728370538	97069.89040365	97312.4929014465	97498.5632916673	97671.9324699347	97828.1251362896	97988.4815985804	98148.0306684525	98289.4815002407	98390.887069755	98480.7464701357	98563.1814276192	98640.2958908255	98713.0286926196	98782.8438029816	98850.4319205634
913	"15"	"Southern Africa"	78821.4638007483	81490.7610920938	83186.3197174968	84773.7003283914	87906.8583869427	89614.6774776524	91215.2444843595	92734.2693287998	93405.4979563309	92532.800513291	91646.7903886702	92354.8813084021	94747.4138236531	95828.2813662227	96502.2879311348	96938.9021116906	97203.6248046344	97399.3815179009	97580.6737218149	97744.5724676027	97911.6939080494	98077.7903154558	98225.6878987023	98331.4720345783	98425.3347105861	98510.8533745798	98591.2129160032	98666.7855582439	98739.5278970874	98810.2002379185
913	"20"	"Southern Africa"	77054.6868209183	79891.3497966793	81711.6750010379	83423.2603201157	87044.7009630789	88767.5470923334	90374.1390163769	92081.8900273851	92777.0165484777	91685.3185117143	90874.2417597046	91690.6802771782	94067.0668994477	95204.5743058	95965.3387829456	96534.0185373741	96882.1681951835	97118.9500957351	97329.6866163327	97519.569669952	97710.6667738788	97897.844831547	98064.8007250841	98184.9847659847	98291.5480515607	98388.4642288715	98478.261018597	98563.0406758356	98644.5337986109	98723.1394158181
913	"25"	"Southern Africa"	74843.5136747918	77855.546715582	79824.6748346192	81680.2412903583	85794.5152679005	87537.1209868061	89156.3494849664	91133.9491277865	91784.3665419841	89712.0844317577	87864.4282519943	89070.2725438815	92409.9794949678	94063.4909254728	94927.6578951955	95614.3379912083	96111.1455449196	96466.5054145028	96758.0025941472	97016.8548413174	97267.6293782261	97501.0908589969	97710.1560305965	97864.905187747	98001.8208474498	98126.8821494672	98241.3893419986	98348.4614873752	98450.8565023599	98547.9830477689
913	"30"	"Southern Africa"	72383.8087387034	75575.3672426668	77699.4625329084	79711.4520519512	84275.6233836981	86032.7816056551	87667.1532151162	89960.250102308	90590.593813792	87027.983934111	82387.752086111	83404.6424320302	89323.8960700894	92259.2773594211	93370.2754762692	94202.9705160303	94854.212653017	95390.7511785582	95835.7386313106	96215.8553787303	96564.0628001443	96868.5148930018	97141.1757391557	97349.6894832266	97534.6857966517	97704.4713061168	97859.4454646125	98003.2691777797	98139.789797314	98268.4278944374
